심사년도,서울,부산,인천,대구,광주,대전,울산,경기,강원,충북,충남,전북,전남,경북,경남,제주,세종
2017년,491215,251847,155826,83464,54093,56555,59136,571714,75088,79140,92299,92073,98407,114450,223174,32857,9934
2018년,496904,267767,154539,87310,54346,60936,66753,600019,76081,86191,92758,92723,102397,119514,232662,35374,12120
2019년,478054,235137,151394,84009,46606,55545,58787,587470,76413,79554,85388,91227,91249,105822,196910,32573,10928
2020년,280724,147015,96237,54118,27748,29911,36469,367086,53790,52334,50505,63455,56643,70305,121189,21357,6126
2021년,148676,71345,51569,30290,17488,18090,17403,217019,29394,31605,26866,34933,29827,43249,61332,13211,3935
2022년,291911,154031,86435,53461,33819,31379,36559,431513,53297,55572,56781,56830,55454,70941,121550,22580,9042
2023년,467354,197615,122434,65881,42560,47237,45350,603098,77635,79318,83387,74461,81964,101984,175099,33427,12096
