,아파트,금액(만원),면적,층,주소
0,풍림아이원,57000,122.2,21,학익동 721
1,인천SKSkyVIEW,57000,85.0,35,용현동 664
2,스타디움센트럴시티,55000,84.92,32,숭의동 462
3,더샵인천스카이타워1단지,55000,84.98,34,도화동 1011
4,주안파크자이더플래티넘,54100,84.82,23,주안동 1662
5,풍림아이원,54000,155.93,16,학익동 721
6,더샵인천스카이타워1단지,54000,84.94,30,도화동 1011
7,주안역센트레빌,53000,84.99,23,주안동 1628
8,힐스테이트학익,52500,73.98,26,학익동 744-1
9,힐스테이트학익,51000,73.96,39,학익동 744-1
10,"월드스테이트(101~111,124~132)",49200,126.92,20,주안동 1614
11,더샵인천스카이타워1단지,49000,74.96,11,도화동 1011
12,삼환1(관교삼환나우빌),49000,132.98,9,관교동 13-6
13,더샵인천스카이타워1단지,48500,74.96,27,도화동 1011
14,주안파크자이더플래티넘,48050,73.9,23,주안동 1662
15,주안역센트레빌,48000,74.92,21,주안동 1628
16,"월드스테이트(101~111,124~132)",45000,84.98,19,주안동 1614
17,인천SKSkyVIEW,45000,59.99,34,용현동 664
18,금호타운,44500,147.01,15,용현동 627-40
19,엑슬루타워,44000,91.3,12,학익동 732-3
20,주안파크자이더플래티넘,43900,59.91,8,주안동 1662
21,주안파크자이더플래티넘,43600,59.96,10,주안동 1662
22,주안역신일해피트리,43000,84.95,10,주안동 1638
23,주안역센트레빌,42800,59.98,21,주안동 1628
24,엑슬루타워,41700,93.07,23,학익동 732-3
25,엘에이치미추홀퍼스트,41300,84.73,14,용현동 지구BL2
26,동아(관교동아),41000,131.54,13,관교동 13-3
27,주안역센트레빌,40800,59.97,25,주안동 1628
28,주안역센트레빌,40400,59.98,6,주안동 1628
29,도화역금강펜테리움센트럴파크,40000,74.35,10,도화동 987
30,주안역센트레빌,40000,59.97,20,주안동 1628
31,풍림아이원,40000,84.94,23,학익동 721
32,엘에이치미추홀퍼스트,40000,84.73,20,용현동 지구BL2
33,주안역신일해피트리,40000,84.95,7,주안동 1638
34,관교한신휴플러스,39000,84.95,17,주안동 1621
35,주안파크자이더플래티넘,38000,59.96,2,주안동 1662
36,풍림아이원,37900,84.94,4,학익동 721
37,주안역신일해피트리,37800,72.61,9,주안동 1638
38,풍림아이원,37000,84.93,7,학익동 721
39,풍림아이원,37000,84.93,8,학익동 721
40,관교한신휴플러스,36600,84.75,13,주안동 1621
41,동부(관교동부),35800,84.88,4,관교동 13-11
42,신창미션힐,35750,84.65,5,용현동 627-534
43,관교한신휴플러스,35500,84.75,11,주안동 1621
44,주안역신일해피트리,34900,72.61,12,주안동 1638
45,엘에이치미추홀퍼스트,34900,66.98,20,용현동 지구BL2
