,아파트,금액(만원),면적,층,주소
144,"월드스테이트(101~111,124~132)",39500,84.98,14,주안동 1614
145,인천SKSkyVIEW,39500,59.99,13,용현동 664
146,월드스테이트(112~123),39000,84.98,16,주안동 1614
147,인천SKSkyVIEW,39000,59.99,37,용현동 664
148,인천SKSkyVIEW,38500,59.99,24,용현동 664
149,엘에이치미추홀퍼스트,38250,84.73,3,용현동 지구BL2
150,진흥,37000,84.64,12,주안동 1606
151,월드스테이트(201~205),36500,60.0,18,주안동 1614
152,신동아7,36200,127.06,9,학익동 645
153,엘에이치미추홀퍼스트,35000,74.9,13,용현동 지구BL2
154,월드스테이트(112~123),35000,84.99,15,주안동 1614
155,포레나미추홀,34784,59.92,16,주안동 가-
156,용현2단지금호타운,34500,84.53,11,용현동 647
157,주안역신일해피트리,34000,67.38,17,주안동 1638
158,도화역금강펜테리움센트럴파크,33000,59.5,17,도화동 987
159,"월드스테이트(101~111,124~132)",33000,60.0,21,주안동 1614
160,성지,33000,84.94,5,관교동 13-9
161,월드스테이트(112~123),32900,60.0,2,주안동 1614
162,엘에이치미추홀퍼스트,32500,74.85,6,용현동 지구BL2
163,도화역금강펜테리움센트럴파크,32500,59.5,16,도화동 987
164,도화역금강펜테리움센트럴파크,31500,59.5,17,도화동 987
165,신창미션힐,31000,59.85,22,용현동 627-534
166,TS굿모닝,30000,84.27,13,도화동 108-1
167,신동아3,30000,84.91,9,학익동 48-14
168,현광2차,30000,84.49,5,학익동 686-12
169,금호타운,29300,84.29,10,용현동 627-40
170,인천SKSkyVIEW,29300,84.98,38,용현동 664
171,도화역대성유니드,29000,59.89,3,도화동 984
172,신동아8,28000,84.96,14,학익동 50
173,풍림아이원,28000,59.94,7,학익동 721
174,한신휴플러스,28000,59.78,11,주안동 1607
175,인천용현엑슬루타워,27000,59.94,3,용현동 659
176,신동아6,26700,84.91,12,학익동 41-3
177,신동아7,26100,84.95,5,학익동 645
178,대림,26000,84.92,4,용현동 627-79
179,삼익플라주아파트,25000,82.16,11,학익동 743
180,센트럴아파트,24500,59.8,14,용현동 490-26
181,엔에스파크,21000,58.75,14,주안동 201-15
182,신동아8,21000,59.4,2,학익동 50
183,신동아7,21000,59.4,6,학익동 645
184,스위트리아아파트,21000,58.81,14,주안동 155-2
185,더젠씨티,20300,49.98,2,숭의동 60-27
186,원흥아파트,20000,59.77,8,학익동 702-2
187,스위트리아아파트,18000,68.55,5,주안동 155-2
188,창우빌라트101동,18000,59.94,14,주안동 215-1
189,신비마을,17800,49.35,9,주안동 1600
190,창우빌라트101동,17500,59.94,2,주안동 215-1
191,동아,16500,54.87,5,용현동 610-113
192,동원,16500,47.07,5,도화동 557-1
193,신동아2,16400,49.03,3,학익동 125-1
194,금양아파트,16000,59.96,4,주안동 1298
195,주안태화2차,15000,58.32,1,주안동 26-8
196,대동2,15000,50.27,2,학익동 683-2
197,대준블루온103동,15000,48.32,9,숭의동 342-7
198,신동아2,15000,41.96,5,학익동 125-1
199,우진3차,14900,62.08,8,숭의동 309-23
200,다우림,14500,49.81,3,숭의동 171-8
201,드림시티,14000,31.86,9,주안동 29-1
202,썬에이스빌,13000,59.75,2,숭의동 353-8
203,선우,13000,59.35,9,용현동 488-5
204,토담빌리지,12300,46.74,4,주안동 262-1
205,백영쑥골마을(534-16),12000,53.8,3,도화동 534-16
206,욱일,10000,47.44,1,주안동 1465-36
207,더원시티,9600,11.95,6,주안동 395-20
208,숭의동아르떼노블,9500,15.35,9,숭의동 78-9
209,경일,9400,39.48,1,주안동 1211-31
210,석암2차,9300,45.16,5,주안동 116-9
211,롯데하이텔,8000,37.8,8,주안동 204-2
212,주안프라움에스,6550,14.9,4,주안동 23-1
213,호산,6500,41.99,5,주안동 1422-2
214,네오빌3차,5300,17.51,11,주안동 219-4
215,네오빌3차,5300,17.51,10,주안동 219-4
216,Wellga,4000,15.04,2,주안동 115-1
217,에코메트로9,100000,199.07,11,논현동 766-1
218,에코메트로10,86000,169.67,21,논현동 773-1
219,에코메트로9,74000,150.78,14,논현동 766-1
220,에코메트로9,73000,150.78,20,논현동 766-1
221,에코메트로9,70000,150.78,35,논현동 766-1
222,구월힐스테이트1단지,62000,115.67,14,구월동 23
223,구월유승한내들퍼스티지,61000,94.03,7,구월동 1508
