,아파트,금액(만원),면적,층,주소
638,간석래미안자이,50000,84.98,13,간석동 939-1
637,간석래미안자이,50000,84.97,10,간석동 939-1
635,간석래미안자이,50500,84.97,6,간석동 939-1
632,간석래미안자이,51000,84.98,14,간석동 939-1
378,간석래미안자이,50000,84.97,8,간석동 939-1
370,간석래미안자이,51500,84.97,23,간석동 939-1
612,간석래미안자이,55000,84.98,20,간석동 939-1
614,간석래미안자이,54500,84.97,12,간석동 939-1
452,간석신동아파밀리에명품,35900,84.46,14,간석동 616-7
34,관교한신휴플러스,39000,84.95,17,주안동 1621
222,관교한신휴플러스,35500,84.75,4,주안동 1621
220,관교한신휴플러스,36000,84.75,7,주안동 1621
215,관교한신휴플러스,37000,84.95,4,주안동 1621
43,관교한신휴플러스,35500,84.75,11,주안동 1621
40,관교한신휴플러스,36600,84.75,13,주안동 1621
479,광명아파트,29500,84.38,12,만수동 1042
758,광명아파트,29450,84.38,11,만수동 1042
768,광명아파트,27500,84.38,14,만수동 1042
287,광해리드빌,21700,84.98,11,숭의동 159-1
286,광해리드빌(101동),22000,84.98,3,주안동 962-1
594,구월아시아드선수촌센트럴자이,59000,84.94,27,구월동 1510
604,구월유승한내들퍼스티지,56500,84.26,9,구월동 1508
597,구월유승한내들퍼스티지,58500,84.35,19,구월동 1508
607,구월유승한내들퍼스티지,56000,84.35,14,구월동 1508
644,구월힐스테이트1단지,47500,84.81,16,구월동 23
642,구월힐스테이트1단지,48000,84.81,6,구월동 23
641,구월힐스테이트1단지,48200,84.81,12,구월동 23
648,구월힐스테이트1단지,45000,84.81,3,구월동 23
384,구월힐스테이트1단지,48450,84.81,18,구월동 23
658,구월힐스테이트3단지,43700,84.81,16,구월동 20
679,구월힐스테이트3단지,40700,84.81,1,구월동 20
238,금호어울림3차,32000,84.85,2,용현동 652
228,금호어울림4차,34750,84.85,5,용현동 653
265,금호타운,26900,84.29,6,용현동 627-40
94,금호타운,27000,84.29,8,용현동 627-40
476,남촌풍림2차,30250,84.84,7,남촌동 391-3
773,남촌풍림2차,26000,84.84,12,남촌동 391-3
708,논현단풍마을트리플에듀,37500,84.77,11,논현동 602-1
710,논현단풍마을트리플에듀,37000,84.99,11,논현동 602-1
712,논현단풍마을트리플에듀,37000,84.99,4,논현동 602-1
713,논현단풍마을트리플에듀,37000,84.99,5,논현동 602-1
707,논현단풍마을트리플에듀,37500,84.79,13,논현동 602-1
447,논현단풍마을트리플에듀,36500,84.55,15,논현동 602-1
441,논현단풍마을트리플에듀,37000,84.99,14,논현동 602-1
678,논현파크포레,41000,84.94,24,논현동 580-1
698,논현파크포레,38500,84.93,16,논현동 580-1
428,논현파크포레,40000,84.94,22,논현동 580-1
682,논현파크포레,40500,84.94,23,논현동 580-1
686,논현파크포레,40000,84.88,2,논현동 580-1
694,논현파크포레,39000,84.88,10,논현동 580-1
262,대림,27500,84.92,7,용현동 627-79
259,대림,28000,84.92,12,용현동 627-79
273,대림,25000,84.92,6,용현동 627-79
264,대림,26900,84.92,13,용현동 627-79
743,대성유니드별빛마을,31700,84.35,17,만수동 844-1
3,더샵인천스카이타워1단지,55000,84.98,34,도화동 1011
6,더샵인천스카이타워1단지,54000,84.94,30,도화동 1011
161,더샵인천스카이타워1단지,56500,84.94,45,도화동 1011
171,더샵인천스카이타워1단지,52200,84.94,38,도화동 1011
169,더샵인천스카이타워1단지,53800,84.94,14,도화동 1011
716,도림아이파크,36500,84.73,12,도림동 651-1
74,도화동신동아파밀리에,29900,84.69,24,도화동 982
249,도화동신동아파밀리에,30000,84.69,20,도화동 982
41,동부(관교동부),35800,84.88,4,관교동 13-11
275,동부(관교동부),25000,84.88,14,관교동 13-11
269,동아,25750,84.95,16,도화동 601-1
100,동아,25500,84.95,8,도화동 601-1
775,동아(260-5),26000,84.95,4,구월동 260-5
246,동아풍림,31000,84.36,8,학익동 719
64,동아풍림,32000,84.36,13,학익동 719
241,동아풍림,31500,84.36,16,학익동 719
398,롯데캐슬골드,45000,84.81,9,구월동 24
468,벽산,32000,84.93,15,만수동 1114
478,벽산,29800,84.93,25,만수동 1114
471,벽산,31400,84.93,20,만수동 1114
475,벽산,30500,84.93,10,만수동 1114
461,벽산,33800,84.93,15,만수동 1114
756,벽산,30000,84.93,7,만수동 1114
487,벽산,28800,84.93,3,만수동 1114
463,벽산블루밍,33500,84.85,10,도림동 654-2
736,벽산블루밍,33200,84.85,8,도림동 654-2
276,보미리즌빌,24850,84.98,8,주안동 929-16
279,보미리즌빌,24200,84.98,14,주안동 929-16
114,보미리즌빌,19300,84.98,12,주안동 929-16
706,서창베라체아파트(11단지),37500,84.55,7,서창동 715
424,서창센트라스아파트,40200,84.99,20,서창동 692
417,서창센트라스아파트,41500,84.96,20,서창동 692
360,서창센트럴푸르지오,53000,84.98,19,서창동 682
372,서창센트럴푸르지오,51000,84.98,22,서창동 682
665,서창자이,42500,84.8,14,서창동 561-1
677,서창자이,41000,84.8,11,서창동 561-1
404,서창퍼스트뷰(7단지),44000,84.41,10,서창동 699
438,서창퍼스트뷰(7단지),37800,84.99,3,서창동 699
422,서창퍼스트뷰(7단지),40500,84.55,14,서창동 699
