,아파트,금액(만원),면적,층,주소
324,"한국1,동아,팬더",35800,84.36,12,갈산동 369
325,동암신동아,35600,84.94,10,십정동 607
326,한화1단지,35500,84.37,17,산곡동 124-23
327,한화1단지,35500,84.37,7,산곡동 124-23
328,동남,35500,84.75,3,갈산동 362
329,"한국1,동아,팬더",35400,84.36,14,갈산동 369
330,금호이수마운트밸리,35000,59.82,2,산곡동 507
331,동아(1차),35000,52.43,7,부평동 70-5
332,욱일,35000,51.01,6,부개동 477
333,삼산타운2단지,35000,84.98,1,삼산동 445-5
334,한신휴,35000,84.98,15,산곡동 222
335,청천푸르지오,35000,84.34,19,청천동 176
336,현대(124-1),35000,84.99,4,산곡동 124-1
337,동암신동아,34900,84.94,10,십정동 607
338,경남4차,34800,84.87,9,산곡동 274-5
339,동아(1차),34800,52.43,4,부평동 70-5
340,부평LH2단지,34800,59.89,6,부평동 938
341,동아(1차),34800,52.43,5,부평동 70-5
342,청천푸르지오,34700,84.94,20,청천동 176
343,미가로,34600,84.99,5,청천동 199-24
344,청천푸르지오,34500,84.34,4,청천동 176
345,청천푸르지오,34500,84.34,4,청천동 176
346,동암신동아,34500,84.94,3,십정동 607
347,삼산타운주공1단지,34300,51.86,8,삼산동 440-1
348,쌍용,34140,84.87,13,청천동 259
349,동암신동아,34000,84.94,8,십정동 607
350,현대1차,34000,72.48,9,산곡동 307
351,동남,34000,84.51,8,갈산동 362
352,"부평1,2차금호타운",34000,59.8,21,청천동 200
353,삼산타운주공1단지,33850,51.83,4,삼산동 440-1
354,부평LH2단지,33800,59.89,8,부평동 938
355,풍림아파트(101동~110동),33750,84.98,3,일신동 409
356,부평LH2단지,33500,59.89,2,부평동 938
357,하나,33200,84.75,1,갈산동 362
358,청천푸르지오,33000,84.34,19,청천동 176
359,대우,33000,59.93,15,갈산동 159
360,한화1단지,33000,84.37,2,산곡동 124-23
361,신명스카이뷰,33000,84.99,9,산곡동 506
362,청천푸르지오,33000,84.94,17,청천동 176
363,삼산타운주공1단지,33000,51.86,6,삼산동 440-1
364,동암신동아,33000,84.94,5,십정동 607
365,부개주공1,33000,59.56,15,부개동 496-2
366,현대(124-1),32800,84.99,6,산곡동 124-1
367,하나,32700,84.75,3,갈산동 362
368,풍림아파트(101동~110동),32500,84.98,2,일신동 409
369,"부평1,2차금호타운",32500,59.8,5,청천동 200
370,한화2단지,32400,59.88,16,산곡동 124-23
371,동암신동아,32200,84.94,2,십정동 607
372,부개주공1,32000,59.93,12,부개동 496-2
373,"부평1,2차금호타운",32000,59.8,4,청천동 200
374,"부평1,2차금호타운",32000,59.8,17,청천동 200
375,경남1차,32000,84.43,9,산곡동 142-3
376,주공5,32000,59.99,5,부개동 500-1
377,해마루아파트,32000,67.05,8,부평동 610-17
378,한화2단지,32000,59.88,6,산곡동 124-23
379,우성3차(294-35),32000,84.97,1,산곡동 294-35
380,대동2,31900,84.6,18,갈산동 361-3
381,부개주공1,31800,59.93,8,부개동 496-2
382,대림1차,31800,76.39,5,부평동 64-20
383,부개주공7단지,31700,59.8,9,부개동 502-8
384,주공5,31500,59.99,20,부개동 500-1
385,부개주공7단지,31500,59.99,19,부개동 502-8
386,주공5,31500,59.99,17,부개동 500-1
387,경남3차,31500,84.87,12,산곡동 145
388,청천푸르지오,31500,84.34,1,청천동 176
389,현대2차,31500,72.54,14,산곡동 311-126
390,"한국1,동아,팬더",31300,84.36,10,갈산동 369
391,주공5,31200,59.99,10,부개동 500-1
392,경남5차,31000,84.97,9,산곡동 261-8
393,대동2,31000,84.6,14,갈산동 361-3
394,"부평1,2차금호타운",31000,59.8,9,청천동 200
395,부개주공7단지,31000,59.99,2,부개동 502-8
396,현대(124-1),30900,84.99,3,산곡동 124-1
397,청천우민늘푸른아파트,30900,59.65,16,청천동 453
398,대동,30750,46.14,3,부개동 477-1
399,경남2차,30700,84.43,12,산곡동 274
400,청천푸르지오,30600,59.36,13,청천동 176
401,부평자이,30500,59.96,14,구산동 360
