,아파트,금액(만원),면적,층,주소
0,서해그랑블5단지,77000,118.13,17,삼산동 454-4
1,서해그랑블5단지,66500,118.13,15,삼산동 454-4
2,"푸른마을한신,삼부",60600,134.96,2,부개동 499-2
3,현대1차,57000,131.16,11,산곡동 307
4,신성미소지움3단지,57000,101.15,21,삼산동 448-1
5,삼산타운6단지,56000,84.96,16,삼산동 454-13
6,대동1,55000,125.07,11,갈산동 361-4
7,부평삼산엠코타운,54100,122.06,2,삼산동 494
8,부평역화성파크드림,54000,84.82,9,부평동 995
9,삼산타운7단지,54000,84.07,10,삼산동 453-1
10,부평삼산엠코타운,53500,122.06,3,삼산동 494
11,삼산타운6단지,51000,84.96,4,삼산동 454-13
12,래미안부평,50000,84.96,5,부평동 947
13,부개주공6,49500,84.79,11,부개동 501-1
14,대우,49500,84.44,15,부평동 65-115
15,삼산타운7단지,49000,84.96,3,삼산동 453-1
16,한화1단지,47000,101.95,17,산곡동 124-23
17,부평코오롱하늘채,46000,59.84,20,부개동 520
18,부평코오롱하늘채,45000,59.85,20,부개동 520
19,"부평1,2차금호타운",41900,101.52,4,청천동 200
20,부평역화성파크드림,41000,59.93,8,부평동 995
21,부평중앙하이츠프리미어,40572,74.81,19,부평동 758-31
22,부평역화성파크드림,40200,59.93,7,부평동 995
23,더샵부평센트럴시티,40000,59.8,13,십정동 630
24,현대(124-1),40000,84.99,13,산곡동 124-1
25,쌍용더플래티넘부평,40000,59.95,11,산곡동 519
26,삼산벽산블루밍,39000,84.32,11,삼산동 170-1
27,부개주공6,38500,84.79,4,부개동 501-1
28,현대(124-1),38000,84.99,13,산곡동 124-1
29,금호이수마운트밸리,38000,84.96,2,산곡동 507
30,삼산타운주공1단지,37000,59.99,12,삼산동 440-1
31,동아(2차),36300,59.82,14,부평동 70-123
32,현대1차,36200,84.6,13,산곡동 307
33,대주파크빌,36000,84.5,3,십정동 182-95
34,부평역화성파크드림,36000,59.93,29,부평동 995
35,부평샬레아넬리스,36000,84.98,8,산곡동 518
36,삼산타운주공1단지,35500,59.99,17,삼산동 440-1
37,삼산타운주공1단지,35500,59.99,17,삼산동 440-1
38,청천푸르지오,35400,84.34,14,청천동 176
39,길리슈빌,35000,73.73,5,부평동 150-4
40,길리슈빌,35000,73.73,5,부평동 150-4
41,부평삼산엠코타운,35000,60.0,2,삼산동 494
42,삼산벽산블루밍,34800,84.32,3,삼산동 170-1
43,대동(494-1),34000,84.94,12,부개동 494-1
44,하나,34000,84.75,12,갈산동 362
45,하나,33800,84.75,4,갈산동 362
46,삼산타운주공1단지,33500,51.86,8,삼산동 440-1
47,삼산타운주공1단지,33250,59.99,7,삼산동 440-1
48,청천푸르지오,33100,84.34,23,청천동 176
49,삼산타운주공1단지,33000,51.86,19,삼산동 440-1
50,대성유니드,33000,84.86,14,갈산동 454
51,대동(494-1),33000,84.94,15,부개동 494-1
52,한화1단지,33000,59.88,6,산곡동 124-23
