,0,1,2,3,4
0,아파트,금액(만원),면적,층,주소
1,센트로팰리스,82500,179.46,25,대봉동 60-10
2,남산롯데캐슬센트럴스카이,67000,84.95,18,남산동 3020
3,남산롯데캐슬센트럴스카이,65000,84.94,32,남산동 3020
4,남산롯데캐슬센트럴스카이,64500,84.95,10,남산동 3020
5,남산자이하늘채,57000,84.89,30,남산동 2951-1
6,센트로팰리스,57000,153.04,8,대봉동 60-10
7,센트로팰리스,57000,129.18,6,대봉동 60-10
8,남산e편한세상,54500,84.86,25,남산동 150-2
9,남산e편한세상,53900,84.86,13,남산동 150-2
10,남산e편한세상,53800,84.86,25,남산동 150-2
11,남산자이하늘채,53500,84.66,20,남산동 2951-1
12,남산e편한세상,53000,84.86,23,남산동 150-2
13,대봉서한포레스트,52700,84.91,14,대봉동 55-68
14,반월당서한포레스트,51290,84.98,21,남산동 3043
15,남산자이하늘채,50000,74.68,17,남산동 2951-1
16,e편한세상대신,49500,84.98,19,대신동 2110
17,삼덕청아람,49000,84.8,13,삼덕동3가 383
18,e편한세상대신,47700,84.98,17,대신동 2110
19,대신센트럴자이,47000,84.84,18,대신동 2106
20,대신센트럴자이,46800,84.84,16,대신동 2106
21,반월당서한포레스트,46421,78.25,26,남산동 3043
22,대구역센트럴자이,46300,84.64,33,수창동 173
23,반월당서한포레스트,46300,78.25,21,남산동 3043
24,반월당서한포레스트,46000,84.98,13,남산동 3043
25,대신센트럴자이,45500,84.84,25,대신동 2106
26,e편한세상대신,45500,84.98,14,대신동 2110
27,대신센트럴자이,45500,84.84,11,대신동 2106
28,삼덕청아람,45000,84.75,11,삼덕동3가 383
29,대신센트럴자이,45000,84.84,18,대신동 2106
30,남산롯데캐슬센트럴스카이,45000,59.88,7,남산동 3020
31,남산롯데캐슬센트럴스카이,45000,59.88,7,남산동 3020
32,남산역화성파크드림,44500,84.85,13,남산동 3012
33,남산롯데캐슬센트럴스카이,44500,59.88,18,남산동 3020
34,대신센트럴자이,44400,84.84,8,대신동 2106
35,대신센트럴자이,44000,84.84,15,대신동 2106
36,대구역센트럴자이,44000,84.64,28,수창동 173
37,남산롯데캐슬센트럴스카이,44000,59.88,23,남산동 3020
38,대신센트럴자이,44000,84.84,19,대신동 2106
39,대신센트럴자이,43500,84.84,22,대신동 2106
40,대구역센트럴자이,43000,84.64,28,수창동 173
41,남산롯데캐슬센트럴스카이,43000,59.88,26,남산동 3020
42,반월당서한포레스트,42828,69.91,11,남산동 3043
43,반월당서한포레스트,42500,69.91,22,남산동 3043
44,대구역센트럴자이,41800,84.64,21,수창동 173
45,남산자이하늘채,41500,59.2,12,남산동 2951-1
46,반월당효성해링턴플레이스,41250,84.93,6,남산동 3006
47,대구역센트럴자이,41200,84.64,22,수창동 173
48,반월당서한포레스트,41000,69.91,17,남산동 3043
49,남산자이하늘채,41000,59.2,15,남산동 2951-1
50,남산그린타운,40800,110.07,6,남산동 2937-1
51,센트로팰리스,40750,80.74,18,대봉동 60-10
52,대구역센트럴자이,40500,84.64,14,수창동 173
53,대구역센트럴자이,40500,84.64,11,수창동 173
54,남산e편한세상,40000,59.99,24,남산동 150-2
55,대구역센트럴자이,40000,84.64,7,수창동 173
56,대구역센트럴자이,39800,84.64,8,수창동 173
57,남산e편한세상,39500,59.99,22,남산동 150-2
58,대구역센트럴자이,39300,84.64,3,수창동 173
59,반월당서한포레스트,39113,69.91,8,남산동 3043
60,동인동삼정그린코아,38500,107.9,4,동인동4가 220
61,청라센트럴파크,38500,84.99,19,남산동 2991
62,극동스타클래스남산,38500,84.83,12,남산동 3000
63,더샵리비테르1차,38200,59.89,22,대봉동 770
64,남산역화성파크드림,38000,59.2,4,남산동 3012
65,남산e편한세상,37950,59.99,7,남산동 150-2
66,남산e편한세상,37800,59.99,16,남산동 150-2
67,대구역센트럴자이,37500,72.84,7,수창동 173
68,대구역센트럴자이,37500,72.84,22,수창동 173
69,극동스타클래스남산,37200,84.83,4,남산동 3000
70,e편한세상대신,37000,59.98,5,대신동 2110
71,반월당효성해링턴플레이스,37000,84.93,17,남산동 3006
72,남산e편한세상,37000,59.99,7,남산동 150-2
73,남산e편한세상,36000,59.99,7,남산동 150-2
74,청라센트럴파크,36000,84.99,12,남산동 2991
75,삼덕청아람,35800,59.99,12,삼덕동3가 383
76,더샵리비테르2차,35600,74.22,17,대봉동 760
77,e편한세상대신,35000,59.98,19,대신동 2110
78,삼덕청아람,35000,59.99,13,삼덕동3가 383
79,극동스타클래스남산,34650,78.5,13,남산동 3000
80,더샵리비테르1차,34500,59.89,3,대봉동 770
81,대구역센트럴자이,34000,59.6,31,수창동 173
82,남산e편한세상,33800,59.99,2,남산동 150-2
83,삼덕청아람,33500,59.99,11,삼덕동3가 383
84,대신센트럴자이,33000,59.96,14,대신동 2106
85,대구역센트럴자이,32700,59.6,12,수창동 173
86,남산역화성파크드림,32500,59.2,16,남산동 3012
87,남산역화성파크드림,32500,59.2,12,남산동 3012
88,남산역화성파크드림,32400,59.2,16,남산동 3012
89,대구역센트럴자이,31500,59.6,15,수창동 173
90,극동스타클래스남산,31500,59.52,22,남산동 3000
91,극동스타클래스남산,31300,59.72,18,남산동 3000
92,극동스타클래스남산,31000,59.87,26,남산동 3000
93,남산역화성파크드림,30500,59.2,7,남산동 3012
94,극동스타클래스남산,30000,59.87,14,남산동 3000
95,극동스타클래스남산,30000,59.52,10,남산동 3000
96,대구역센트럴자이,30000,59.6,17,수창동 173
97,남산역화성파크드림,30000,59.2,4,남산동 3012
98,보성황실타운,28000,84.98,19,남산동 2466-1
99,남산그린타운,28000,69.24,4,남산동 2937-1
100,남산그린타운,24500,69.24,23,남산동 2937-1
101,송림맨션,22500,59.99,16,남산동 2434
102,삼승슈퍼타워,22000,83.5,10,동인동1가 362
103,보성황실타운,21000,59.96,11,남산동 2466-1
104,심미한마음,16000,58.56,2,남산동 2483-1
105,심미한마음,14500,59.55,3,남산동 2483-1
106,인터불고코아시스,10200,26.93,12,남산동 437-1
107,동남,10000,67.5,4,동인동3가 343
108,노마즈하우스,5250,14.6,15,교동 8
